policy_version,metric_id,comparison_domain_id,applicable_tickers,minimum_accepted_fraction,minimum_accepted_breadth,calibration_eligibility,normalization_scope,notes
transportation_surface_metric_domains_v1,operating_ratio,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Comparable Class I railroad operating-ratio definitions
transportation_surface_metric_domains_v1,operating_ratio,ltl_carriers,ARCB|ODFL|SAIA|TFII|XPO,0.75,4,CANDIDATE,within_metric_domain,Comparable LTL network operating-ratio definitions
transportation_surface_metric_domains_v1,operating_ratio,truckload_intermodal,HUBG|JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Review issuer definitions before combining asset intensity
transportation_surface_metric_domains_v1,operating_ratio,asset_light_logistics,CHRW|EXPD|HUBG|LSTR,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Derived inverse margin is not a standard carrier operating ratio
transportation_surface_metric_domains_v1,operating_ratio,integrated_parcel,FDX|UPS,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two issuers cannot support an independent specialized calibration
transportation_surface_metric_domains_v1,purchased_transportation_ratio,asset_light_logistics,CHRW|EXPD|HUBG|LSTR,0.75,3,CANDIDATE,within_metric_domain,Core pass-through cost comparison for brokers and forwarders
transportation_surface_metric_domains_v1,purchased_transportation_ratio,ltl_carriers,ARCB|TFII|XPO,0.75,3,CANDIDATE,within_metric_domain,Applicable diversified LTL issuers only
transportation_surface_metric_domains_v1,purchased_transportation_ratio,truckload_intermodal,JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Applicable truckload and intermodal issuers only
transportation_surface_metric_domains_v1,purchased_transportation_ratio,integrated_parcel,FDX|UPS,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two issuers cannot support an independent specialized calibration
transportation_surface_metric_domains_v1,fleet_or_equipment_count,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Rail equipment counts require rail-only normalization
transportation_surface_metric_domains_v1,fleet_or_equipment_count,ltl_carriers,ARCB|ODFL|SAIA|TFII|XPO,0.75,4,CANDIDATE,within_metric_domain,LTL tractors trailers and doors require LTL-only normalization
transportation_surface_metric_domains_v1,fleet_or_equipment_count,truckload_intermodal,HUBG|JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Truckload and intermodal equipment counts
transportation_surface_metric_domains_v1,fleet_or_equipment_count,integrated_parcel,FDX|UPS,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two issuers cannot support an independent specialized calibration
transportation_surface_metric_domains_v1,average_length_of_haul,ltl_carriers,ARCB|ODFL|SAIA|TFII,0.75,3,CANDIDATE,within_metric_domain,LTL haul-length comparison
transportation_surface_metric_domains_v1,average_length_of_haul,truckload_intermodal,JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Truckload haul-length comparison
transportation_surface_metric_domains_v1,freight_weight_per_shipment,ltl_carriers,ARCB|ODFL|SAIA|TFII|XPO,0.75,4,CANDIDATE,within_metric_domain,LTL shipment-weight comparison
transportation_surface_metric_domains_v1,freight_weight_per_shipment,integrated_parcel,FDX,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Single applicable parcel issuer
transportation_surface_metric_domains_v1,revenue_per_shipment_or_load,ltl_carriers,ARCB|ODFL|SAIA|XPO,0.75,3,CANDIDATE,within_metric_domain,LTL yield-level comparison
transportation_surface_metric_domains_v1,revenue_per_shipment_or_load,truckload_intermodal,HUBG|JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Load-level comparison requires semantic definition review
transportation_surface_metric_domains_v1,shipment_or_load_growth,ltl_carriers,ARCB|ODFL|SAIA,0.75,3,CANDIDATE,within_metric_domain,LTL shipment growth
