ticker,nct_id,decision,relationship_type,expected_sponsor,required_terms_json,valid_from,valid_to,reviewed_at,confidence,notes
SI,NCT06754150,include,direct_sponsor,Shoulder Innovations,"[""shoulder innovations"",""si total shoulder system""]",2024-12-31,,2026-08-22,1.0,Issuer-linked Shoulder Innovations clinical data registry.
SI,NCT04194138,exclude,unrelated_general_registry,,"[""complex adult deformity surgery""]",2019-12-16,,2026-08-22,1.0,CADS is not an issuer-linked Shoulder Innovations trial and does not identify an iFuse intervention in the registry record.
SI,NCT05276024,exclude,ticker_identity_collision,,"[""ifuse bedrock""]",2022-03-16,,2026-08-22,1.0,SI-BONE product study; SI is Shoulder Innovations.
SI,NCT07565545,exclude,ticker_identity_collision,SI-BONE Inc.,"[""ifuse intra ti""]",2026-05-04,,2026-08-22,1.0,SI-BONE PIERCE study; SI is Shoulder Innovations.
SI,NCT01688245,exclude,wrong_identifier,,"[""text message behavioral intervention""]",2012-09-19,,2026-08-22,1.0,This identifier is an alcohol-consumption intervention; INSITE is NCT01681004.
SI,NCT01681004,exclude,ticker_identity_collision,SI-BONE Inc.,"[""investigation of sacroiliac fusion treatment""]",2012-09-07,,2026-08-22,1.0,Completed SI-BONE INSITE study; unrelated to Shoulder Innovations.
SI,NCT01640080,exclude,wrong_identifier,,"[""esketamine""]",2012-07-12,,2026-08-22,1.0,This identifier is an esketamine depression trial; SIFI is NCT01640353.
SI,NCT01640353,exclude,ticker_identity_collision,SI-BONE Inc.,"[""sacroiliac joint fusion"",""ifuse implant system""]",2012-07-13,,2026-08-22,1.0,Completed SI-BONE SIFI study; unrelated to Shoulder Innovations.
SI,NCT01874236,exclude,ticker_identity_collision,SI-BONE Inc.,"[""validity and reliability of diagnostic findings""]",2013-06-18,,2026-08-22,1.0,Terminated SI-BONE VaReFi study; unrelated to Shoulder Innovations.
MOBI,NCT05301140,include,legacy_operating_subsidiary,MicroTransponder Inc.,"[""vivistim registry"",""vivistim system""]",2022-03-29,,2026-08-22,1.0,Recruiting Vivistim GRASP registry; MicroTransponder is Mobia Medical's operating predecessor/subsidiary.
MOBI,NCT05691023,include,legacy_operating_subsidiary,MicroTransponder Inc.,"[""vivistim system"",""post-market""]",2023-01-19,,2026-08-22,1.0,Active post-market Vivistim at-home study.
MOBI,NCT06485206,exclude,product_name_collision,Highridge Medical,"[""mobi-c"",""acdf""]",2024-07-03,,2026-08-22,1.0,Mobi-C cervical disc study owned by Highridge Medical; unrelated to Mobia Medical.
MOBI,NCT04012996,exclude,product_name_collision,Centinel Spine,"[""mobi-c"",""prodisc""]",2019-07-09,,2026-08-22,1.0,Centinel Spine study uses Mobi-C only as the active comparator; unrelated to Mobia Medical.
MOBI,NCT00389597,exclude,product_name_collision,,"[""mobi-c"",""cervical disc""]",2006-11-01,,2026-08-22,1.0,Completed Mobi-C pivotal IDE study; unrelated to Mobia Medical and Vivistim.
ANIK,NCT02659215,include,direct_sponsor,"Anika Therapeutics, Inc.","[""hyalofast""]",2016-01-20,,2026-08-30,1.0,Direct-sponsored HyaloFAST cartilage-repair study.
ANIK,NCT06741527,include,direct_sponsor,"Anika Therapeutics, Inc.","[""integrity implant""]",2024-12-19,,2026-08-30,1.0,Direct-sponsored Integrity Implant post-market study.
MDXG,NCT06236750,include,direct_sponsor,"MiMedx Group, Inc.","[""dehydrated human amnion chorion membrane""]",2024-02-01,,2026-08-30,1.0,Direct-sponsored DHACM post-marketing surveillance study.
MDXG,NCT06600724,include,direct_sponsor,"MiMedx Group, Inc.","[""pplhacm""]",2024-09-19,,2026-08-30,1.0,Direct-sponsored placental tissue DFU platform study.
MDXG,NCT07173621,include,issuer_product_collaboration,Sarasota Memorial Health Care System,"[""amnioeffect""]",2025-09-15,,2026-08-30,0.95,External sponsor evaluating the issuer's AMNIOEFFECT product.
LNTH,NCT05641688,include,direct_sponsor,Lantheus Biosciences Ltd.,"[""pi 2620""]",2022-12-08,,2026-08-30,1.0,Direct-sponsored PI-2620 phase 3 histopathology study.
LNTH,NCT06074510,include,direct_sponsor,Lantheus Medical Imaging,"[""pylarify""]",2023-10-10,,2026-08-30,1.0,Direct-sponsored PYLARIFY imaging study.
LNTH,NCT06298916,include,direct_sponsor,Lantheus Medical Imaging,"[""64cu lnth 1363s""]",2024-03-07,,2026-08-30,1.0,Direct-sponsored imaging-agent study.
LNTH,NCT06790394,include,direct_sponsor,Lantheus Germany GmbH,"[""18f fbb""]",2025-01-24,,2026-08-30,1.0,Direct-sponsored cardiac amyloidosis imaging study.
LNTH,NCT07357519,include,direct_sponsor,Lantheus Medical Imaging,"[""lu targo""]",2026-01-22,,2026-08-30,1.0,Direct-sponsored targeted osteosarcoma therapy study.
TECH,NCT06966089,include,subsidiary_product_collaboration,Icahn School of Medicine at Mount Sinai,"[""exosomedx""]",2025-05-11,,2026-08-30,0.95,External sponsor evaluating Bio-Techne subsidiary ExosomeDx; exact product term required.
TECH,NCT06349772,exclude,ticker_token_collision,,"[""texas tech university""]",2024-04-05,,2026-08-30,1.0,Texas Tech University study is unrelated to Bio-Techne; generic TECH matching is prohibited.
