"ticker","company_name","calibration_cohort","include_in_universe","reason","valid_from","valid_to","reviewed_at"
"BFLY","Butterfly Network","capital_equipment_procedure_platforms","true","taxonomy_redesign_capital_equipment_procedure_platforms_2026_06_06","2026-06-06","","2026-06-26"
"CBLL","CeriBell","capital_equipment_procedure_platforms","true","historical_taxonomy_correction_2026_08_30_from_capital_equipment_procedure_platforms_to_capital_equipment_procedure_platforms","2024-10-11","","2026-08-30"
"GEHC","GE HealthCare","capital_equipment_procedure_platforms","true","taxonomy_redesign_capital_equipment_procedure_platforms_2026_06_06","2026-06-06","","2026-06-26"
"ISRG","Intuitive Surgical","capital_equipment_procedure_platforms","true","taxonomy_redesign_fold_surgical_robotics_into_procedure_platforms_2026_06_06","2026-06-06","","2026-06-26"
"MASI","Masimo","capital_equipment_procedure_platforms","true","taxonomy_redesign_capital_equipment_procedure_platforms_2026_06_06","2026-06-06","","2026-06-26"
"MDAI","Spectral AI","emerging_single_product_medtech_platforms","true","historical_taxonomy_correction_2026_08_30_from_capital_equipment_procedure_platforms_to_emerging_single_product_medtech_platforms","2021-04-06","","2026-08-30"
"OWLT","Owlet","home_chronic_care_devices_dme_drug_delivery","true","historical_taxonomy_correction_2026_08_30_from_capital_equipment_procedure_platforms_to_home_chronic_care_devices_dme_drug_delivery","2020-11-05","","2026-08-30"
"PHG","Philips","capital_equipment_procedure_platforms","true","taxonomy_redesign_capital_equipment_procedure_platforms_2026_06_06","2026-06-06","","2026-06-26"
"PRCT","Procept BioRobotics","capital_equipment_procedure_platforms","true","taxonomy_redesign_fold_surgical_robotics_into_procedure_platforms_2026_06_06","2026-06-06","","2026-06-26"
"STIM","Neuronetics","capital_equipment_procedure_platforms","true","taxonomy_redesign_office_based_therapeutic_capital_platform_2026_06_06","2026-06-06","","2026-06-26"
"TMDX","TransMedics","capital_equipment_procedure_platforms","true","taxonomy_redesign_transplant_organ_perfusion_platform_forced_capital_fallback_2026_06_06","2026-06-06","","2026-06-26"
"VREX","Varex Imaging","capital_equipment_procedure_platforms","false","sector_scope_exclusion_2026_08_30_preserve_facts_remove_from_med_device_scoring","2026-06-06","","2026-08-30"
"AHCO","AdaptHealth","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_dme_services_2026_06_06","2026-06-06","","2026-06-26"
"DXCM","DexCom","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"ELMD","Electromed","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"EMBC","Embecta","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"INFU","InfuSystem","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"INGN","Inogen","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"KRMD","KORU Medical Systems","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_new_ticker_home_chronic_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"PODD","Insulet","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"RMD","ResMed","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"SENS","Senseonics","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"TCMD","Tactile Medical","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"TNDM","Tandem Diabetes Care","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_chronic_care_drug_delivery_2026_06_06","2026-06-06","","2026-06-26"
"VMD","Viemed Healthcare","home_chronic_care_devices_dme_drug_delivery","true","taxonomy_redesign_home_resp_dme_services_2026_06_06","2026-06-06","","2026-06-26"
"ADPT","Adaptive Biotechnologies","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"BDSX","Biodesix","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"BIAF","bioAffinity Technologies","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"CDNA","CareDx","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"CODX","Co-Diagnostics","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"CSTL","Castle Biosciences","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"GH","Guardant Health","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"GRAL","GRAIL","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"IDXX","IDEXX Laboratories","diagnostics_clinical_tests","true","historical_taxonomy_correction_2026_08_30_from_diagnostics_clinical_tests_to_diagnostics_clinical_tests","2000-01-03","","2026-08-30"
"IMDX","Insight Molecular Diagnostics","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"IRTC","iRhythm Technologies","diagnostics_clinical_tests","true","taxonomy_redesign_cardiac_diagnostic_monitoring_2026_06_06","2026-06-06","","2026-06-26"
"MYGN","Myriad Genetics","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"NEO","NeoGenomics","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"NEOG","Neogen","diagnostics_clinical_tests","false","sector_scope_exclusion_2026_08_30_preserve_facts_remove_from_med_device_scoring","2026-06-06","","2026-08-30"
"NTRA","Natera","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"OSUR","OraSure Technologies","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"PSNL","Personalis","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"QDEL","QuidelOrtho","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"VCYT","Veracyte","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"VNRX","VolitionRx","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"WGS","GeneDx","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"XGN","Exagen","diagnostics_clinical_tests","true","taxonomy_redesign_diagnostics_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"CRL","Charles River Laboratories","healthcare_services_cro_lab_services","true","taxonomy_redesign_services_cro_lab_services_2026_06_06","2026-06-06","","2026-06-26"
"DGX","Quest Diagnostics","healthcare_services_cro_lab_services","true","taxonomy_redesign_lab_services_2026_06_06","2026-06-06","","2026-06-26"
"FMS","Fresenius Medical Care","healthcare_services_cro_lab_services","true","taxonomy_redesign_services_cro_lab_services_2026_06_06","2026-06-06","","2026-06-26"
"IQV","IQVIA","healthcare_services_cro_lab_services","true","taxonomy_redesign_services_cro_lab_services_2026_06_06","2026-06-06","","2026-06-26"
"LH","Labcorp","healthcare_services_cro_lab_services","true","taxonomy_redesign_lab_services_2026_06_06","2026-06-06","","2026-06-26"
"MEDP","Medpace","healthcare_services_cro_lab_services","true","taxonomy_redesign_services_cro_lab_services_2026_06_06","2026-06-06","","2026-06-26"
"OPK","OPKO Health","healthcare_services_cro_lab_services","true","taxonomy_redesign_lab_services_2026_06_06","2026-06-06","","2026-06-26"
"RDNT","RadNet","healthcare_services_cro_lab_services","true","taxonomy_redesign_outpatient_imaging_services_2026_06_06","2026-06-06","","2026-06-26"
"SHC","Sotera Health","healthcare_services_cro_lab_services","true","taxonomy_redesign_sterilization_lab_testing_services_2026_06_06","2026-06-06","","2026-06-26"
"XWEL","XWELL","healthcare_services_cro_lab_services","false","sector_scope_exclusion_2026_08_30_preserve_facts_remove_from_med_device_scoring","2026-06-06","","2026-08-30"
"ATR","AptarGroup","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_drug_delivery_packaging_forced_supplies_fallback_2026_06_06","2026-06-06","","2026-06-26"
"AVNS","Avanos Medical","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"AXGN","Axogen","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_surgical_biologics_regenerative_forced_supplies_fallback_2026_06_06","2026-06-06","","2026-06-26"
"BAX","Baxter","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"BDX","Becton Dickinson","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"CERS","Cerus","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"FEED","Feeders Pet Supply","emerging_single_product_medtech_platforms","true","historical_taxonomy_correction_2026_08_30_from_hospital_supplies_surgical_consumables_oem_to_emerging_single_product_medtech_platforms","2015-05-28","","2026-08-30"
"HAE","Haemonetics","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_blood_management_supplies_2026_06_06","2026-06-06","","2026-06-26"
