ticker,original_discovery_url,replacement_discovery_url,replacement_approved_domain,replacement_target_domain,resolution_action,unresolved_disposition,fallback_source_lane,review_status,reviewed_on,transport_security_status,source_basis,source_id,rationale
AAL,https://americanairlines.gcs-web.com/,https://news.aa.com/,news.aa.com,news.aa.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_NEWSROOM,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://news.aa.com/,The sealed vendor profile root reset connections and the official issuer newsroom publishes financial results
ASR,https://asur.com.mx/,https://www.asur.com.mx/,asur.com.mx,asur.com.mx,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_SITE,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://www.asur.com.mx/,The canonical www host returned the official issuer site while the bare host timed out
CAL,https://web.archive.org/cdx/search/cdx?url=continental.com%2F%2A&output=json&filter=statuscode:200&filter=mimetype:text/html&collapse=digest&from=1993&to=2011,,,,RETRY_ARCHIVE_WITH_YEAR_SLICES,REVIEWED_ARCHIVE_INDEX_ACCESS_LIMITATION,SEC_LEGACY_FILINGS_AND_YEAR_SLICED_ARCHIVE,APPROVED,2026-07-27,TLS_VALID,DP6O_FAILED_ARCHIVE_INDEX_DIAGNOSTIC,transportation_primary_document_discovery_pages.csv,The complete-domain HTML CDX response exceeded the bounded response size and requires year slices
CCEC,https://capitalcleanenergycarriers.com/,https://ir.capitalcleanenergycarriers.com/,ir.capitalcleanenergycarriers.com,capitalcleanenergycarriers.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID_BUT_REQUEST_TIMEOUT,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://ir.capitalcleanenergycarriers.com/,The original bare host had a certificate name mismatch and the official investor site is the reviewed replacement
CPA,https://copaair.com/,https://ir.copaair.com/,ir.copaair.com,copaair.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID_BUT_REQUEST_TIMEOUT,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://ir.copaair.com/,The airline consumer site timed out and the official Copa Holdings investor site is the reviewed source
ECO,https://okeanisecotankers.com/,https://www.okeanisecotankers.com/reports/,okeanisecotankers.com,okeanisecotankers.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_EURONEXT_ISSUER_RELEASES,APPROVED,2026-07-27,TLS_CERTIFICATE_CHAIN_INVALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://www.okeanisecotankers.com/reports/,The official financial reports page is correct but its certificate chain fails strict validation and TLS bypass is prohibited
EDRY,https://eurodry.gr/,https://www.eurodry.gr/investor-relations/reports.html,eurodry.gr,eurodry.gr,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://www.eurodry.gr/investor-relations/reports.html,The bare host did not resolve and the reviewed www investor reports page is active
ESEA,https://euroseas.gr/,https://www.euroseas.gr/investor-relations/reports.html,euroseas.gr,euroseas.gr,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://www.euroseas.gr/investor-relations/reports.html,The bare host did not resolve and the reviewed www investor reports page is active
FTAI,https://ftaiaviation.com/,https://ir.ftaiaviation.com/financial-information/financial-reports,ir.ftaiaviation.com,ftaiaviation.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID_BUT_REQUEST_TIMEOUT,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://ir.ftaiaviation.com/financial-information/financial-reports,The stale bare host did not resolve and the official investor financial reports page is the reviewed source
GSL,https://globalshiplease.com/,https://www.globalshiplease.com/investors,globalshiplease.com,globalshiplease.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID_BUT_REQUEST_TIMEOUT,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://www.globalshiplease.com/investors,The original redirect stalled and the official investor page is the reviewed replacement
