"ticker","reimbursement_code","code_type","source_id","confidence","short_description","long_description","mapping_method","matched_term","notes","active","valid_from","reviewed_at","valid_to"
"TCMD","E0652","HCPCS","cms_payment_files","100.0","Pneumatic compression device","Segmented calibrated-gradient pneumatic compression device for home lymphedema treatment","direct_product_match","flexitouch_lymphedema_pump","Tactile Medical Flexitouch home DME reimbursement anchor","1","2026-06-26","2026-06-26",""
"PODD","E0784","HCPCS","cms_payment_files","95.0","External ambulatory infusion pump","External ambulatory infusion pump and insulin delivery equipment reimbursement anchor","direct_product_match","omnipod_insulin_pump","Insulet reimbursement can also route through pharmacy benefits; this DME anchor prevents unknown classification","1","2026-06-26","2026-06-26",""
"WGS","81425","CPT","cms_payment_files","95.0","Genome sequence analysis","Genome/exome sequence analysis reimbursement anchor for rare-disease genomic diagnostics","direct_molecular_match","whole_exome_genome","Retired as a standalone anchor after review confirmed GeneDx reports and bills a combined exome/genome service mix; retained only for PIT history","1","2026-06-26","2026-06-26","2026-07-23"
"WGS","81415","CPT","cms_payment_files","95.0","Exome sequence analysis, proband","Whole exome sequence analysis for the patient or proband","direct_molecular_match","genedx_exome_proband","GeneDx current exome/genome service mix; exome remains a major production pathway","1","2026-07-24","2026-07-23",""
"WGS","81416","CPT","cms_payment_files","95.0","Exome sequence analysis, comparator","Whole exome sequence analysis for each comparator family member","direct_molecular_match","genedx_exome_comparator","GeneDx rare-disease testing frequently uses duo or trio family comparators","1","2026-07-24","2026-07-23",""
"WGS","81425","CPT","cms_payment_files","95.0","Genome sequence analysis, proband","Whole genome sequence analysis for the patient or proband","direct_molecular_match","genedx_genome_proband","GeneDx current exome/genome service mix includes a growing whole-genome pathway","1","2026-07-24","2026-07-23",""
"WGS","81426","CPT","cms_payment_files","95.0","Genome sequence analysis, comparator","Whole genome sequence analysis for each comparator family member","direct_molecular_match","genedx_genome_comparator","GeneDx whole-genome duo or trio family-comparator pathway","1","2026-07-24","2026-07-23",""
"CSTL","81479","CPT","cms_payment_files","90.0","Unlisted molecular pathology","Unlisted molecular pathology procedure for specialty molecular diagnostics","gapfill_method","decisiondx","Retired after verification of the assay-specific DecisionDx-Melanoma CPT code 81529; retained only for PIT history","1","2026-06-26","2026-06-26","2026-07-23"
"CSTL","81529","CPT","cms_payment_files","100.0","DecisionDx-Melanoma","Cutaneous melanoma mRNA gene-expression profiling with recurrence-risk and sentinel-node-metastasis assessment","direct_assay_match","decisiondx_melanoma","CMS MolDX article A56961 identifies DecisionDx-Melanoma and code 81529; code effective 2021-01-01","1","2021-01-01","2026-07-24",""
"BDSX","81479","CPT","cms_payment_files","90.0","Unlisted molecular pathology","Unlisted molecular pathology procedure for proteomic or genomic diagnostic testing","gapfill_method","biodesix_lung","Retired after verification of the assay-specific BDX-XL2 PLA code 0080U; retained only for PIT history","1","2026-06-26","2026-06-26","2026-07-23"
"BDSX","0080U","PLA","cms_payment_files","100.0","BDX-XL2","Lung nodule malignancy-risk assay using plasma proteins and five clinical risk factors","direct_assay_match","nodify_xl2_bdx_xl2","CMS transmittal R4208CP identifies BDX-XL2, Biodesix, and PLA code 0080U; code effective 2019-01-01","1","2019-01-01","2026-07-24",""
"XGN","81479","CPT","cms_payment_files","90.0","Unlisted molecular pathology","Unlisted molecular pathology procedure for autoimmune biomarker panels","gapfill_method","avise_lupus","Retired after verification of the assay-specific AVISE Lupus PLA code 0312U; retained only for PIT history","1","2026-06-26","2026-06-26","2026-07-23"
"XGN","0312U","PLA","cms_payment_files","100.0","AVISE Lupus","Protein-based autoimmune immunoassay using cell-bound complement activation products and an SLE-likelihood algorithm","direct_assay_match","avise_lupus","CMS transmittal R11221CP and Exagen disclosures identify AVISE Lupus PLA code 0312U; pricing is not equivalent to broad coverage","1","2022-04-01","2026-07-24",""
"BIAF","81479","CPT","cms_payment_files","85.0","Unlisted molecular pathology","Unlisted molecular pathology procedure for emerging diagnostic assays","gapfill_method","bioaffinity_cypath","Retired after verification of the assay-specific CyPath Lung PLA code 0406U; retained only for PIT history","1","2026-06-26","2026-06-26","2026-07-23"
"BIAF","0406U","PLA","cms_payment_files","100.0","CyPath Lung","Lung cancer flow-cytometry assay using sputum and five markers with an algorithmic result","direct_assay_match","cypath_lung","CMS transmittal R12210CP identifies CyPath Lung, bioAffinity Technologies, and PLA code 0406U; code effective 2023-10-01","1","2023-10-01","2026-07-24",""
"CODX","87502","CPT","cms_payment_files","95.0","Influenza DNA/RNA detection","Infectious agent nucleic-acid detection respiratory assay reimbursement anchor","direct_molecular_match","co_diagnostics_respiratory","Co-Diagnostics multiplex respiratory molecular testing anchor","1","2026-06-26","2026-06-26",""
"GRAL","81479","CPT","cms_payment_files","90.0","Unlisted molecular pathology","Unlisted molecular pathology procedure for multi-cancer early detection","gapfill_method","galleri_multi_cancer","Retired because Galleri does not have broad Medicare reimbursement and a generic 81479 code must not create direct-payment evidence; retained only for PIT history","1","2026-06-26","2026-06-26","2026-07-23"
"PSNL","81479","CPT","cms_payment_files","90.0","Unlisted molecular pathology","Unlisted molecular pathology procedure for oncology sequencing and residual disease tracking","gapfill_method","personalis_oncology","Retired as an unsupported generic-payment proxy; retained only for PIT history before assay-specific MolDX coverage was documented","1","2026-06-26","2026-06-26","2026-07-23"
"PSNL","81479","CPT","cms_coverage_api","100.0","NeXT Personal MRD","Bespoke whole-genome assay design and plasma testing for molecular residual disease monitoring","covered_noc_assay","next_personal_mrd","CMS MolDX article A58468 lists covered NeXT Personal indications; claims without a specific CPT code use 81479 with the assigned DEX Z-Code","1","2026-07-24","2026-07-24",""
