ticker,decision,listing_status,manual_include,manual_exclude,manual_review,reason_codes,notes,effective_date
ABT,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
ACET,review,active,true,false,true,manual_include;manual_review;research_only_low_liquidity,Active biotech issuer retained for scoring and research; isolated intake screen measured median ADDV below the hard universe threshold.,2026-08-21
ACIU,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
ACLX,remove,inactive,,true,,inactive_ticker;manual_exclude,User confirmed ticker is no longer active on 2026-05-04; remove from active scoring universe.,
ACOG,review,active,true,false,true,manual_include;manual_review;research_only_low_liquidity,Active biotech issuer retained for scoring and research; isolated intake screen measured median ADDV below the hard universe threshold.,2026-08-21
ALMS,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
AORT,remove,active,,true,false,manual_exclude;removed_from_biotech_pipeline;manual_review_resolved,User confirmed this ticker should be removed from the biotech review list on 2026-06-26; exclude from active biotech scoring universe.,
APLS,remove,active,,true,,manual_exclude;removed_from_biotech_universe,User confirmed ticker should be removed from active biotech scoring universe on 2026-05-09.,
ARTV,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
ARWR,keep,active,true,,false,user_requested_activation;manual_review_resolved,User requested activation/final-universe scoring coverage on 2026-05-21. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
ASMB,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
ASND,keep,active,true,,false,manual_include;user_requested_addition;manual_review_resolved,User requested addition with market SEC CTGov and Form 4 coverage on 2026-05-21. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
ATAI,review,active,true,false,true,manual_include;manual_review;new_ticker_ctgov_link_pending,Newly onboarded issuer retained for scoring and research; allocation remains blocked pending CTGov entity/link review.,2026-08-21
ATRA,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
ATTO,review,active,true,false,true,manual_include;manual_review;research_only_recent_ipo_recapitalization,Active recent IPO retained for scoring and research; pre-IPO reverse-split evidence remains a review flag until sufficient public history accrues.,2026-08-21
AURA,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
AVLN,review,active,true,false,true,manual_include;manual_review;new_ticker_financial_risk_review,Newly onboarded issuer retained for scoring and research; allocation remains blocked pending resolution of conflicting going-concern evidence.,2026-08-21
AXGN,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
AZTR,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
BBIO,keep,active,true,,false,user_requested_activation;manual_review_resolved,User requested activation for refreshed biotech scoring coverage on 2026-05-21. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
BFLY,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
BLSM,review,active,true,false,true,manual_include;manual_review;research_only_going_concern,Active recent IPO retained for scoring and research; confirmed going-concern evidence remains a structural allocation control.,2026-08-21
BNTC,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
BRVE,review,active,true,false,true,manual_include;manual_review;research_only_recent_ipo_recapitalization,Active recent IPO retained for scoring and research; pre-IPO reverse-split evidence remains a review flag until sufficient public history accrues.,2026-08-21
CAMP,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
CATX,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
CBIO,remove,active,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
CNTA,remove,pending_acquisition,,true,,manual_exclude;pending_acquisition;eli_lilly_definitive_agreement,Eli Lilly entered a definitive agreement to acquire Centessa on 2026-03-31; remove from active standalone biotech scoring universe during acquisition cleanup.,
COEP,remove,ticker_changed_non_biotech_pivot,,true,false,ticker_changed;non_biotech_pivot;manual_exclude,COEP changed name/ticker to ZSQR effective 2026-04-27 after a reverse-merger pivot into cryptocurrency mining and data-center infrastructure; end active biotech membership and preserve COEP only in historical snapshots.,2026-04-27
COYA,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
CPRX,remove,active,,true,,manual_exclude;removed_from_biotech_universe,User confirmed ticker should be removed from active biotech scoring universe on 2026-05-09.,
CRL,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
CUE,review,active,true,false,true,manual_include;manual_review;research_only_structural_risk,Active biotech issuer retained for scoring and research; confirmed going-concern and reverse-split findings remain structural allocation controls.,2026-08-22
DAWN,remove,acquired_delisted,,true,,acquired_delisted_non_public,Acquired by Servier and ceased trading on Nasdaq on 2026-04-22; exclude from active public universe.,
DGX,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
DMRA,review,active,true,false,true,manual_include;manual_review;new_ticker_ctgov_link_pending,Newly onboarded issuer retained for scoring and research; allocation remains blocked pending CTGov entity/link review.,2026-08-21
DTIL,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
DXCM,remove,active,,true,false,manual_exclude;removed_from_biotech_pipeline;manual_review_resolved,User confirmed this ticker should be removed from the biotech review list on 2026-06-26; exclude from active biotech scoring universe.,
EDSA,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
ELVN,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
ESPR,remove,acquired_delisted_non_public,,true,false,acquired_delisted_non_public;manual_exclude,Acquired by ARCHIMED for $3.16 cash per share plus contingent milestone rights; last regular trading date was 2026-07-10 and the merger became effective 2026-07-13.,2026-07-13
ETON,review,active,true,false,true,manual_include;manual_review;new_ticker_ctgov_link_pending,Newly onboarded issuer retained for scoring and research; allocation remains blocked pending CTGov entity/link review.,2026-08-21
FOLD,remove,inactive,,true,,inactive_ticker;manual_exclude,User confirmed ticker is no longer active on 2026-05-04; remove from active scoring universe.,
FTH,keep,active,true,,false,ticker_change_successor;manual_include;manual_review_resolved,Faeth Therapeutics successor ticker for former SNSE effective 2026-06-16; keep active in biotech scoring and preserve SNSE company history through ticker action mapping. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
FTRE,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
GEHC,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
