"ticker","billing_category","payment_rate_status","primary_payment_file","coverage_score","payment_score","review_reason","notes","valid_from","reviewed_at"
"ISRG","capital_equipment_procedure_platform","system_budget","hospital_capital_budget_opps_apc_drg","95.0","90.0","resolved_indirect_procedural_reimbursement","System sales are paid through hospital capital budgets; procedure economics are indirectly supported by surgical CPT/OPPS/DRG reimbursement rather than a device-specific HCPCS code.","2026-06-26","2026-06-26"
"ITGR","upstream_b2b_oem","upstream_b2b_no_clinical_code","none","100.0","100.0","resolved_upstream_manufacturer_exemption","Upstream medical component and contract manufacturer; revenue is business-to-business and not directly adjudicated through clinical reimbursement codes.","2026-06-26","2026-06-26"
"AHCO","home_dme_services","commercial_contract_no_cms","dmepos_commercial_contracts","85.0","75.0","resolved_home_dme_contracted_reimbursement","Home medical equipment distributor and service platform; reimbursement is contract and DMEPOS-channel driven rather than tied to one proprietary product code.","2026-06-26","2026-06-26"
"LH","laboratory_services","large_lab_clfs_array","cms_clfs","95.0","85.0","resolved_clinical_lab_fee_schedule_routing","Clinical laboratory network; reimbursement is routed through CLFS and payer lab contracts rather than a med-device product code.","2026-06-26","2026-06-26"
"MDAI","capital_equipment_software","system_budget","hospital_it_overhead_budget","80.0","70.0","resolved_enterprise_software_budget","Clinical decision-support and wound-imaging workflow software; payment is expected through provider budget/enterprise software economics unless a specific covered procedure code is later identified.","2026-06-26","2026-06-26"
"DGX","laboratory_services","large_lab_clfs_array","cms_clfs","95.0","85.0","resolved_clinical_lab_fee_schedule_routing","Quest Diagnostics clinical laboratory infrastructure is reimbursed through CLFS and payer lab contracts rather than a med-device product code.","2026-06-26","2026-06-26"
"IQV","cro_services_contract","commercial_contract_no_cms","none","100.0","100.0","resolved_upstream_pharma_services_exemption","IQVIA is a CRO and commercial data-services platform; no direct clinical medical-device reimbursement code is expected.","2026-06-26","2026-06-26"
"MEDP","cro_services_contract","commercial_contract_no_cms","none","100.0","100.0","resolved_upstream_pharma_services_exemption","Medpace is a clinical contract research organization; revenue is sponsor-contract driven and outside CMS hardware reimbursement gates.","2026-06-26","2026-06-26"
"VMD","home_dme_services","commercial_contract_no_cms","dmepos_commercial_contracts","85.0","75.0","resolved_home_dme_contracted_reimbursement","Viemed Healthcare provides home respiratory therapy and DME services paid through DMEPOS channels and commercial payer contracts.","2026-06-26","2026-06-26"
"PRCT","capital_equipment_procedure_platform","system_budget","hospital_capital_budget_opps_apc_drg","90.0","85.0","resolved_indirect_procedural_reimbursement","PROCEPT Aquablation systems are capital/procedure platforms; economics are supported by hospital budgets and procedure reimbursement rather than direct device HCPCS billing.","2026-06-26","2026-06-26"
"IDXX","veterinary_diagnostics","veterinary_no_cms","none","100.0","100.0","resolved_non_human_healthcare_exemption","IDEXX veterinary diagnostics have no CMS/human insurance reimbursement dependency and should not fail a human med-device billing-code gate.","2026-06-26","2026-06-26"
"AZTA","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","Azenta life-science sample management and genomics infrastructure is RUO/B2B and not directly clinically reimbursed.","2026-06-26","2026-06-26"
"SMTI","hospital_wound_care_supplies","packaged_status_n","opps_packaged_supply_pathway","80.0","70.0","resolved_packaged_wound_care_supply_pathway","Sanara MedTech wound-care and surgical supply economics are better represented as packaged hospital/surgical supply reimbursement than capital equipment.","2026-06-26","2026-06-26"
"CRL","cro_services_contract","commercial_contract_no_cms","none","100.0","100.0","resolved_upstream_pharma_services_exemption","Charles River Laboratories is a preclinical CRO and contract services platform; no direct clinical medical-device reimbursement code is expected.","2026-06-26","2026-06-26"
"UFPT","upstream_b2b_oem","upstream_b2b_no_clinical_code","none","100.0","100.0","resolved_upstream_manufacturer_exemption","UFP Technologies medical device packaging and component manufacturing is B2B/OEM and outside clinical reimbursement adjudication.","2026-06-26","2026-06-26"
"AVTR","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","Avantor chemicals/reagents and lab infrastructure are B2B/RUO life-science tools rather than patient-billed devices.","2026-06-26","2026-06-26"
"MTD","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","Mettler-Toledo precision lab weighing and analytical instruments are research/industrial B2B tools.","2026-06-26","2026-06-26"
"BFLY","capital_equipment_procedure_platform","system_budget","imaging_procedure_mpfs_opps","85.0","80.0","resolved_indirect_procedural_reimbursement","Butterfly Network handheld ultrasound economics are capital/device sales supported by standard imaging procedure reimbursement rather than device-specific HCPCS billing.","2026-06-26","2026-06-26"
"BRKR","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","Bruker analytical instruments and mass spectrometry systems are B2B life-science/research capital equipment.","2026-06-26","2026-06-26"
"OWLT","consumer_direct","commercial_vision_or_cash_pay","none","100.0","100.0","resolved_consumer_direct_exemption","Owlet infant health monitors are consumer/direct-pay products and should not fail a CMS device-code gate.","2026-06-26","2026-06-26"
"RDNT","diagnostic_imaging_center","imaging_provider_mpfs_rates","cms_mpfs","90.0","85.0","resolved_imaging_center_global_billing","RadNet outpatient imaging centers bill through MPFS/global imaging reimbursement and payer contracts rather than a device product code.","2026-06-26","2026-06-26"
"WST","upstream_b2b_oem","upstream_b2b_no_clinical_code","none","100.0","100.0","resolved_upstream_manufacturer_exemption","West Pharmaceutical Services supplies drug-delivery packaging and components to pharma/medtech manufacturers through B2B channels.","2026-06-26","2026-06-26"
"VREX","upstream_b2b_oem","upstream_b2b_no_clinical_code","none","100.0","100.0","resolved_upstream_manufacturer_exemption","Varex Imaging sells X-ray tubes and detector components to OEM customers rather than billing clinical reimbursement directly.","2026-06-26","2026-06-26"
"SHC","healthcare_services_contract","commercial_contract_no_cms","none","95.0","90.0","resolved_healthcare_service_contract_routing","Sotera Health sterilization/testing/advisory services are commercial contract services for healthcare manufacturers.","2026-06-26","2026-06-26"
"OPK","laboratory_services","large_lab_clfs_array","cms_clfs","95.0","85.0","resolved_clinical_lab_fee_schedule_routing","OPKO/BioReference clinical lab operations are reimbursed through CLFS and payer lab contracts.","2026-06-26","2026-06-26"
"CTKB","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","Cytek flow-cytometry and cell-analysis platforms are B2B research/lab tools.","2026-06-26","2026-06-26"
"NEOG","veterinary_diagnostics","veterinary_no_cms","none","100.0","100.0","resolved_non_human_healthcare_exemption","Neogen food safety and animal diagnostics have no CMS/human insurance reimbursement dependency.","2026-06-26","2026-06-26"
"PACB","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","Pacific Biosciences sequencing platforms are research/lab capital equipment and B2B consumables.","2026-06-26","2026-06-26"
"TWST","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","Twist Bioscience synthetic DNA and oligo manufacturing serves B2B research and therapeutics developers.","2026-06-26","2026-06-26"
"BLFS","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","BioLife Solutions cell-processing and biopreservation media/storage products are B2B life-science tools.","2026-06-26","2026-06-26"
"QTRX","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","Quanterix digital immunoassay platforms are B2B research/lab systems.","2026-06-26","2026-06-26"
"XWEL","consumer_direct","cash_pay_or_out_of_pocket","none","100.0","100.0","resolved_consumer_direct_exemption","XWELL wellness/retail services are consumer cash-pay and not CMS med-device reimbursement.","2026-06-26","2026-06-26"
"ALGN","elective_dental_aesthetic","commercial_vision_or_cash_pay","none","95.0","90.0","resolved_elective_dental_cash_pay","Align clear-aligner economics are patient/dental-insurance/elective payments rather than CMS medical-device billing.","2026-06-26","2026-06-26"
"WRBY","consumer_vision_retail","commercial_vision_or_cash_pay","none","100.0","100.0","resolved_consumer_direct_exemption","Warby Parker is consumer optical retail with direct-pay or managed-vision reimbursement economics.","2026-06-26","2026-06-26"
"QSI","life_science_tools","not_applicable_ruo_b2b","none","100.0","100.0","resolved_research_use_only_exemption","Quantum-Si protein sequencing platforms are B2B/RUO research tools.","2026-06-26","2026-06-26"
"SNWV","emerging_wound_therapy_platform","packaged_status_n","opps_packaged_supply_pathway","75.0","65.0","resolved_packaged_wound_care_supply_pathway","SANUWAVE wound-therapy platform should be treated as packaged wound-care/procedure economics unless a specific active payment code is validated.","2026-06-26","2026-06-26"
"CATX","radiopharma_therapeutic_platform","pharma_overhead","none","70.0","60.0","resolved_pharma_therapeutic_reimbursement_context","Perspective Therapeutics is an emerging radiopharmaceutical platform and should not be forced into a physical med-device code path.","2026-06-26","2026-06-26"
