scope_version,ticker,metric_name,source_type,required_dependencies,repair_objective,include_in_filing_pass,notes
transportation_required_metric_repair_v1,AER,operating_margin,financial,revenue|operating_income,recover_current_operating_income_or_prove_structural_na,1,Do not synthesize a lessor operating subtotal without a reviewed same-period bridge
transportation_required_metric_repair_v1,ASC,operating_margin,financial,revenue|operating_income,recover_current_operating_income,1,Prefer reported consolidated operating income before derivation
transportation_required_metric_repair_v1,ASR,capex_to_revenue,financial,revenue|capex,recover_current_cash_capex,1,Concession and operating-asset additions require cash-flow tie-out
transportation_required_metric_repair_v1,ASR,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_current_cash_capex_and_align_fcf,1,OCF and capex must share one complete window
transportation_required_metric_repair_v1,CIIT,capital_raise_dependence,financial,operating_cash_flow|capex|equity_issuance_proceeds|debt_issuance_proceeds,complete_fcf_burn_and_capital_raise_window,1,Positive OCF alone does not establish zero cash burn
transportation_required_metric_repair_v1,CIIT,cash_runway_years,financial,cash_and_equivalents|operating_cash_flow|capex,complete_fcf_burn_and_cash_window,1,Runway is not applicable only after nonpositive FCF burn is proven
transportation_required_metric_repair_v1,CMDB,capex_to_revenue,financial,revenue|capex,recover_current_cash_capex,1,PP&E balance is not a cash-capex substitute
transportation_required_metric_repair_v1,CMDB,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_current_cash_capex_and_align_fcf,1,Parse all required operands in the same filing pass
transportation_required_metric_repair_v1,CMRE,capex_to_revenue,financial,revenue|capex,recover_current_cash_capex,1,Accounting additions require cash-flow reconciliation
transportation_required_metric_repair_v1,CMRE,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_current_cash_capex_and_align_fcf,1,Parse all required operands in the same filing pass
transportation_required_metric_repair_v1,CTNT,capital_raise_dependence,financial,operating_cash_flow|capex|equity_issuance_proceeds|debt_issuance_proceeds,align_fcf_burn_and_capital_raise_window,1,Do not combine proceeds from a different TTM window
transportation_required_metric_repair_v1,CTNT,cash_runway_years,financial,cash_and_equivalents|operating_cash_flow|capex,align_fcf_burn_and_cash_window,1,Existing OCF and capex windows require reconciliation
transportation_required_metric_repair_v1,DAC,capex_to_revenue,financial,revenue|capex,recover_current_cash_capex,1,Validate PP&E additions against reported cash expenditure
transportation_required_metric_repair_v1,DAC,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_current_cash_capex_and_align_fcf,1,OCF and capex must share one complete window
transportation_required_metric_repair_v1,ECO,capex_to_revenue,financial,revenue|capex,recover_current_cash_capex,1,Vessel and construction disclosures require cash-flow tie-out
transportation_required_metric_repair_v1,ECO,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_current_cash_capex_and_align_fcf,1,Parse all required operands in the same filing pass
transportation_required_metric_repair_v1,EDRY,capital_raise_dependence,financial,operating_cash_flow|capex|equity_issuance_proceeds|debt_issuance_proceeds,repair_financial_period_selection_then_derive,1,Do not classify N/A from positive OCF before capex is complete
transportation_required_metric_repair_v1,EDRY,cash_runway_years,financial,cash_and_equivalents|operating_cash_flow|capex,repair_financial_period_selection_then_derive,1,Resolve the stale feature anchor before applying the runway formula
transportation_required_metric_repair_v1,ESEA,capex_to_revenue,financial,revenue|capex,recover_current_cash_capex,1,Incurred-but-unpaid capex is not cash capex
transportation_required_metric_repair_v1,ESEA,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_current_cash_capex_and_align_fcf,1,OCF and capex must share one complete window
transportation_required_metric_repair_v1,GATX,fcf_margin,financial,revenue|operating_cash_flow|capex,align_existing_fcf_operands,1,OCF exists; repair the capex/OCF window instead of refetching OCF blindly
transportation_required_metric_repair_v1,HSHP,capex_to_revenue,financial,revenue|capex,recover_complete_cash_capex,1,Construction-in-process payments require completeness review
transportation_required_metric_repair_v1,HSHP,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_complete_cash_capex_and_align_fcf,1,Include all qualifying vessel-capex components once
transportation_required_metric_repair_v1,MRTN,capex_to_revenue,financial,revenue|capex,recover_current_cash_capex,1,Use current 10-K and 10-Q cash-flow statements
transportation_required_metric_repair_v1,MRTN,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_current_cash_capex_and_align_fcf,1,OCF and capex must share one complete window
transportation_required_metric_repair_v1,PAC,capex_to_revenue,financial,revenue|capex,recover_current_cash_capex,1,Concession improvements require cash-flow tie-out and currency preservation
transportation_required_metric_repair_v1,PAC,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_current_cash_capex_and_align_fcf,1,Parse all required operands in the same filing pass
transportation_required_metric_repair_v1,PBI,operating_margin,financial,revenue|operating_income|costs_and_expenses|pretax_income,validate_same_period_operating_income_derivation,1,Revenue less costs is allowed only when the pretax-collapse guard passes
transportation_required_metric_repair_v1,R,operating_margin,financial,revenue|operating_income|costs_and_expenses|pretax_income,recover_or_prove_structural_na,1,Do not substitute a segment or non-GAAP subtotal without reviewed policy
transportation_required_metric_repair_v1,RUBI,maximum_drawdown_12m,market,adjusted_price_history,wait_for_252_valid_adjusted_bars,0,No filing or parser invocation can create missing market history
transportation_required_metric_repair_v1,SB,capex_to_revenue,financial,revenue|capex,recover_current_cash_capex,1,Construction incurred but not paid is not cash capex
transportation_required_metric_repair_v1,SB,fcf_margin,financial,revenue|operating_cash_flow|capex,recover_current_cash_capex_and_align_fcf,1,OCF and capex must share one complete window
