composite_key,metric_key,feature_name,ref_area,regime_block,base_weight,required_flag,min_feature_coverage_flag,max_staleness_days_override,source_quality_multiplier,smoothing_window_days,min_composite_coverage_ratio,min_required_coverage_ratio,notes
G_NOW,us_ads_index,level,USA,growth_now,0.09090909,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_cfnai,level,USA,growth_now,0.09090909,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_cfnai_ma3,level,USA,growth_now,0.09090909,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_industrial_production,yoy_pct,USA,growth_now,0.09090909,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_initial_claims,yoy_pct,USA,growth_now,0.09090909,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_initial_claims_4w,yoy_pct,USA,growth_now,0.09090909,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_nonfarm_payrolls,yoy_pct,USA,growth_now,0.09090909,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_real_gdp,qoq_ann_pct,USA,growth_now,0.09090909,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_real_mfg_trade_sales,yoy_pct,USA,growth_now,0.09090909,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_real_personal_income_less_transfers,yoy_pct,USA,growth_now,0.09090909,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_NOW,us_unemployment_rate,level,USA,growth_now,0.09090909,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_advance_retail_sales,yoy_pct,USA,growth_lead,0.05555556,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_anfci,level,USA,growth_lead,0.05555556,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_bci,level,USA,growth_lead,0.05555556,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_building_permits,yoy_pct,USA,growth_lead,0.05555556,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_cci,level,USA,growth_lead,0.05555556,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_cli,level,USA,growth_lead,0.05555556,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_durable_goods_ex_transport,yoy_pct,USA,growth_lead,0.05555556,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_durable_goods_orders,yoy_pct,USA,growth_lead,0.05555556,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_effective_fed_funds,level,USA,growth_lead,0.05555556,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_housing_starts,yoy_pct,USA,growth_lead,0.05555556,0,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_hy_oas,level,USA,growth_lead,0.05555556,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
G_LEAD,us_nfci,level,USA,growth_lead,0.05555556,1,1,,1.00,5,0.40,1.00,Generated tier-1 composite defaults from the feature policy. Core regime composites use U.S. features only; SHOCK uses U.S./global shock features.
