ticker,biotech_calibration_cohort,reason
ABBV,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
ABUS,platform_partnered_modality_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_profitable_quality_or_mature; source=user_approved_cohort_reorganization_20260830
ACAD,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
ADMA,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
ALKS,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
ALNY,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
AMGN,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
AMPH,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
AMRX,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
ANIP,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
AUPH,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
AVNS,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
BIIB,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
BMRN,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
BMY,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
BSX,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
BVS,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
CAI,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
CDNA,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
CNMD,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
COLL,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
CORT,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
CRMD,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_profitable_quality_or_mature; source=user_approved_cohort_reorganization_20260830
EBS,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
EOLS,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_profitable_quality_or_mature; source=user_approved_cohort_reorganization_20260830
EW,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
EXEL,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
GILD,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
HALO,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
HRMY,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
IART,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
IMCR,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_profitable_quality_or_mature; source=user_approved_cohort_reorganization_20260830
INCY,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
INDV,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
INVA,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
IQV,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
IRWD,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
JAZZ,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
JNJ,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
KRYS,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
LGND,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
LLY,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
LNTH,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
MDT,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
MNKD,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
MRK,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
NBIX,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
NEO,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
ONC,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
OPK,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
PFE,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
PODD,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
PRCT,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
REGN,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
SIGA,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
STE,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
SUPN,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
TBPH,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
TECH,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
