historical_ticker,price_source_symbol,company_name,exchange,sector,cohort_id,cohort,industry,country,currency,security_type,listing_status,membership_status,index_or_etf,eligibility_basis,include_in_historical_universe,include_in_live_universe,calibration_eligible,calibration_status,exit_type,terminal_type,acquirer_or_counterparty,successor_ticker,exit_year,last_trade_date,terminal_value,terminal_currency,confidence,membership_source_url,event_source_url,notes
PBG,,The Pepsi Bottling Group,NYSE,Consumer Defensive,beverages,Beverages,Beverages,United States,USD,Common Stock,delisted,historical_verified,S&P 500; XLP,historical_index_or_sector_etf_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash_and_stock,PepsiCo,PEP,2010,,,USD,high,https://investor.bankofamerica.com/regulatory-and-other-filings/all-sec-filings/content/0001193125-08-101064/0001193125-08-101064.pdf,https://pepsico.mediaroom.com/index.php?item=266&s=43,Reconcile the cash and PEP share consideration before calibration
PAS,,PepsiAmericas,NYSE,Consumer Defensive,beverages,Beverages,Beverages,United States,USD,Common Stock,delisted,historical_verified,S&P MidCap 400,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash_and_stock,PepsiCo,PEP,2010,,,USD,high,https://www.sec.gov/Archives/edgar/data/77476/000119312510090778/d10q.htm,https://pepsico.mediaroom.com/index.php?item=266&s=43,Reconcile the cash and PEP share consideration before calibration
GMCR,,Keurig Green Mountain,Nasdaq,Consumer Defensive,beverages,Beverages,Beverages,United States,USD,Common Stock,delisted,historical_verified,S&P 500,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,take_private,cash,JAB Holding Company,,2016,,,USD,high,https://press.spglobal.com/2016-03-03-UDR-Set-to-Join-the-S-P-500-Healthcare-Realty-Trust-to-Join-S-P-MidCap-400-Proto-Labs-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2016-03-03-UDR-Set-to-Join-the-S-P-500-Healthcare-Realty-Trust-to-Join-S-P-MidCap-400-Proto-Labs-to-Join-S-P-SmallCap-600,Verify final cash settlement and last trade date
WBA,,Walgreens Boots Alliance,Nasdaq,Consumer Defensive,consumer_staples_distribution_retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,United States,USD,Common Stock,delisted,historical_verified,S&P 500,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,take_private,cash,Sycamore Partners,,2025,,,USD,high,https://press.spglobal.com/2025-08-25-Interactive-Brokers-Group-Set-to-Join-S-P-500%2C-Talen-Energy-to-Join-S-P-MidCap-400-and-Kinetik-Holdings-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2025-08-25-Interactive-Brokers-Group-Set-to-Join-S-P-500%2C-Talen-Energy-to-Join-S-P-MidCap-400-and-Kinetik-Holdings-to-Join-S-P-SmallCap-600,Verify transaction close and final cash settlement
SPTN,,SpartanNash,Nasdaq,Consumer Defensive,consumer_staples_distribution_retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,C&S Wholesale Grocers,,2025,,,USD,high,https://press.spglobal.com/2025-09-19-Reynolds-Consumer-Products-Set-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2025-09-19-Reynolds-Consumer-Products-Set-to-Join-S-P-SmallCap-600,Verify transaction close and final cash settlement
WFM,,Whole Foods Market,Nasdaq,Consumer Defensive,consumer_staples_distribution_retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,United States,USD,Common Stock,delisted,historical_verified,S&P 500; XLP,historical_index_or_sector_etf_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Amazon,,2017,,,USD,high,https://investor.bankofamerica.com/regulatory-and-other-filings/all-sec-filings/content/0001193125-08-101064/0001193125-08-101064.pdf,https://press.spglobal.com/2017-08-24-Charter-Communications-Set-to-Join-S-P-100-Quintiles-IMS-Holdings-and-SBA-Communications-to-Join-S-P-500,Verify final cash settlement and last trade date
SWY,,Safeway,NYSE,Consumer Defensive,consumer_staples_distribution_retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,United States,USD,Common Stock,delisted,historical_verified,S&P 500; XLP,historical_index_or_sector_etf_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Albertsons and Cerberus Capital Management,,2015,,,USD,high,https://investor.bankofamerica.com/regulatory-and-other-filings/all-sec-filings/content/0001193125-08-101064/0001193125-08-101064.pdf,https://press.spglobal.com/2015-01-23-HCA-Holdings-Set-to-Join-the-S-P-500,Verify final cash settlement and last trade date
FDO,,Family Dollar Stores,NYSE,Consumer Defensive,consumer_staples_distribution_retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,United States,USD,Common Stock,delisted,historical_verified,S&P 500,business_cohort_override_plus_index_membership,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash_and_stock,Dollar Tree,DLTR,2015,,,USD,high,https://press.spglobal.com/2015-07-06-Advance-Auto-Parts-Set-to-Join-the-S-P-500-Jack-in-the-Box-West-Pharmaceutical-Services-to-Join-S-P-MidCap-400-Northfield-Bancorp-Constant-Contact-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2015-07-06-Advance-Auto-Parts-Set-to-Join-the-S-P-500-Jack-in-the-Box-West-Pharmaceutical-Services-to-Join-S-P-MidCap-400-Northfield-Bancorp-Constant-Contact-to-Join-S-P-SmallCap-600,Historical GICS was Consumer Discretionary; retained under the business-defined discount retail cohort
HTSI,,Harris Teeter Supermarkets,NYSE,Consumer Defensive,consumer_staples_distribution_retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,United States,USD,Common Stock,delisted,historical_verified,S&P MidCap 400,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Kroger,,2014,,,USD,high,https://press.spglobal.com/2014-01-23-Fortinet-Set-to-Join-the-S-P-MidCap-400,https://press.spglobal.com/2014-01-23-Fortinet-Set-to-Join-the-S-P-MidCap-400,Verify final cash settlement and last trade date
NAFC,,Nash Finch,Nasdaq,Consumer Defensive,consumer_staples_distribution_retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,merger_successor,successor_security,Spartan Stores,SPTN,2013,,,USD,high,https://press.spglobal.com/2013-11-14-American-Woodmark-Set-to-Join-the-S-P-SmallCap-600,https://press.spglobal.com/2013-11-14-American-Woodmark-Set-to-Join-the-S-P-SmallCap-600,Map the stock merger into the SPTN successor lineage
