metric_id,source_sections_10k,source_sections_20f,expected_tables,parser_aliases
fleet_capacity,Item 1|Item 7,Item 4|Item 5,Fleet Overview|Vessel List|Fleet Summary,carrying capacity|DWT|deadweight tonnage|total fleet capacity|aggregate vessel capacity|total carrying capacity|ship dead weight tonnage|vessel capacity|dead weight
revenue_days,Item 7,Item 5,Key Performance Indicators|Fleet Operating Statistics|Reconciliation of Non-GAAP Measures|Glossary of Shipping Terms,revenue days|revenue day|total revenue days|earning days|earnings days|total operating days|number of revenue days
offhire_or_drydock_ratio,Item 7,Item 5,Fleet Operational Performance|Reconciliation of Non-GAAP Measures,off-hire days|off hire days|offhire days|scheduled drydocking|scheduled dry-docking|technical off-hire days|drydock days|dry-docking days|available days
tce_day_rate,Item 7,Item 5,Non-GAAP Financial Measures|Time Charter Equivalent Reconciliation,time charter equivalent rate|TCE rate|time charter equivalent revenue per day|average daily TCE|time charter equivalent earnings per day|TCE per day
fleet_age,Item 1|Item 7,Item 4|Item 5,Fleet Table|Fleet Profile|Fleet Overview|Vessel List Summary,average fleet age|weighted average age|average age of vessels|average vessel age|age of vessel
vessel_count,Item 1|Item 8,Item 4|Item 18,Fleet Summary|Vessels Net|Property Plant and Equipment,number of vessels|total operating fleet|owned fleet|total number of fleet|number of vessels in fleet|number of operating vessels|number of vessels in operation|number of fleet
newbuild_capacity_commitments,Item 8,Item 18,Commitments and Contingencies|Newbuilding Contracts|Delivery Schedule,newbuilding contracts|newbuild commitments|newbuilding installment commitments|vessel purchase commitments|delivery schedule|remaining cost of construction of vessels
capex_commitments,Item 8|Item 7,Item 18|Item 5,Commitments and Contingencies|Capital Expenditures Summary,contracted capital commitments|contractual capital commitments|capital expenditure commitments|capital commitments|BWTS installations|ballast water treatment system installations|scrubber installations|remaining committed payments
vessel_opex_per_day,Item 7,Item 5,Daily Vessel Operating Expenses Reconciliation,daily vessel operating expenses|vessel operating expenses per day|opex per day|vessel operating costs per revenue day
spot_or_charter_day_rate,Item 7,Item 5,Segment Performance|Pool Earnings,spot market TCE rate|spot rate per day|time charter rate|charter rate per day|pool daily average|charter hire rate per day
fleet_utilization,Item 7,Item 5,Operational Key Performance Indicators,fleet utilization|commercial utilization|revenue days divided by total available days
charter_coverage_next_12m,Item 7,Item 5,Fleet Contract Profile|Commercial Outlook|Operating Results by Segment|Fleet Deployment|Commercial Profile,contracted coverage|contract coverage|percent covered|fixed rate coverage|fixed-rate coverage|available days fixed|fixed rate days|contracted days|earnings days in next fiscal year covered by current contracts
contracted_revenue_backlog,Item 8|Item 7,Item 18|Item 5,Revenue from Contracts|Leases Lessor|Future Charter Payments|Revenue Recognition,remaining performance obligations|revenue remaining performance obligation|future minimum charter hirings receivable|future minimum charter hire receipts|minimum lease payments receivable|future charter payments total|future charter revenue|minimum future charter revenues
weighted_average_charter_term,Item 8,Item 18,Operating Leases Lessor Disclosures,weighted average remaining lease term|average remaining charter duration|average remaining lease term|remaining charter duration
cash_breakeven_per_day,Item 7,Item 5,Non-GAAP Financial Measures|Capital Resources,estimated daily cash breakeven|free cash flow breakeven per day|cash breakeven per day
spot_exposure_ratio,Item 7,Item 5,Fleet Deployment Summary,spot exposure|percent spot exposure|spot days divided by total earning days|spot market exposure
