metric_name,cohort_id,applicability,applicability_rule,cross_section_policy,notes
remaining_performance_obligation,software_infra_cloud_data_devops_ai,conditional,company_discloses_contract_backlog,within_applicable_peers,Do not penalize non-disclosers
remaining_performance_obligation,software_infra_security_identity_edge,conditional,company_discloses_contract_backlog,within_applicable_peers,Do not penalize non-disclosers
current_remaining_performance_obligation,software_infra_cloud_data_devops_ai,conditional,company_discloses_current_rpo,within_applicable_peers,Current RPO disclosure is voluntary
current_remaining_performance_obligation,software_infra_security_identity_edge,conditional,company_discloses_current_rpo,within_applicable_peers,Current RPO disclosure is voluntary
deferred_revenue_current,software_infra_cloud_data_devops_ai,conditional,company_has_material_deferred_revenue,within_applicable_peers,Use reported current component
deferred_revenue_current,software_infra_security_identity_edge,conditional,company_has_material_deferred_revenue,within_applicable_peers,Use reported current component
deferred_revenue_noncurrent,software_infra_cloud_data_devops_ai,conditional,company_reports_noncurrent_component,within_applicable_peers,Missing is not zero
deferred_revenue_noncurrent,software_infra_security_identity_edge,conditional,company_reports_noncurrent_component,within_applicable_peers,Missing is not zero
deferred_revenue_total,software_infra_cloud_data_devops_ai,conditional,company_has_material_deferred_revenue,within_applicable_peers,Current plus noncurrent or reported total
deferred_revenue_total,software_infra_security_identity_edge,conditional,company_has_material_deferred_revenue,within_applicable_peers,Current plus noncurrent or reported total
selling_and_marketing_expense,software_infra_cloud_data_devops_ai,universal,all_operating_companies,all_cohort_members,Required for sales efficiency
selling_and_marketing_expense,software_infra_security_identity_edge,universal,all_operating_companies,all_cohort_members,Required for sales efficiency
annual_recurring_revenue,software_infra_cloud_data_devops_ai,conditional,recurring_revenue_business_and_disclosed,within_applicable_peers,Voluntary KPI
annual_recurring_revenue,software_infra_security_identity_edge,conditional,recurring_revenue_business_and_disclosed,within_applicable_peers,Voluntary KPI
net_revenue_retention,software_infra_cloud_data_devops_ai,conditional,subscription_business_and_disclosed,within_applicable_peers,Definition changes require versioned evidence
net_revenue_retention,software_infra_security_identity_edge,conditional,subscription_business_and_disclosed,within_applicable_peers,Definition changes require versioned evidence
subscription_revenue,software_infra_cloud_data_devops_ai,conditional,company_reports_subscription_revenue,within_applicable_peers,Do not infer from total revenue
subscription_revenue,software_infra_security_identity_edge,conditional,company_reports_subscription_revenue,within_applicable_peers,Do not infer from total revenue
disclosed_billings,software_infra_cloud_data_devops_ai,conditional,company_explicitly_discloses_billings,within_applicable_peers,Calculated billings is a separate derived metric
disclosed_billings,software_infra_security_identity_edge,conditional,company_explicitly_discloses_billings,within_applicable_peers,Calculated billings is a separate derived metric
customer_count_threshold,software_infra_cloud_data_devops_ai,diagnostic,threshold_definition_is_stable,time_series_only,Threshold changes break comparability
customer_count_threshold,software_infra_security_identity_edge,diagnostic,threshold_definition_is_stable,time_series_only,Threshold changes break comparability
customer_concentration_pct,software_infra_cloud_data_devops_ai,conditional,major_customer_disclosure_exists,risk_flag_only,Absence is not evidence of zero concentration
customer_concentration_pct,software_infra_security_identity_edge,conditional,major_customer_disclosure_exists,risk_flag_only,Absence is not evidence of zero concentration
