ticker,handling_type,parent_ticker,skip_sec_network,reporting_profile,reporting_standard,fallback_status,financial_confidence,usable_xbrl_flag,review_reason,notes,valid_from,reviewed_at
APSG,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Applied Signal Technology requires archived filing extraction if fundamentals are needed.",2026-07-01,2026-07-02
ARTX,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Arotech submissions endpoint unavailable in modern SEC JSON API.",2026-07-01,2026-07-02
ATNY,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"API Technologies companyfacts endpoint unavailable.",2026-07-01,2026-07-02
BEAV,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"B/E Aerospace submissions endpoint unavailable in modern SEC JSON API.",2026-07-01,2026-07-02
CSRA,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"CSRA companyfacts endpoint unavailable.",2026-07-01,2026-07-02
ARXS,recent_public_stub,,false,RECENT_PUBLIC_STUB,recent_public_stub,stub_period_limited,0.35,0,recent_public_stub_limited_annual_history,"Recent public issuer; force S-1/424B lookback extraction and keep annual-stub metrics separate from normal annual/TTM fundamentals.",2026-07-02,2026-07-02
DPC,recent_ipo_development_stage,,false,RECENT_IPO_DEVELOPMENT_STAGE,recent_public_development_stage,neutral_low_confidence,0.30,0,recent_ipo_limited_public_filing_history,"Recent IPO; attempt SEC S-1/424B lookback extraction while rank readiness remains governed by lifecycle-stage and filing-history gates.",2026-07-02,2026-07-02
DRS-DEL2008,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Internal delisted ticker; DRS legacy filings require archive handling.",2026-07-01,2026-07-02
ELMT,recent_public_stub,,false,RECENT_PUBLIC_STUB,recent_public_stub,stub_period_limited,0.35,0,recent_public_stub_limited_annual_history,"Recent public issuer; force S-1/424B lookback extraction and keep annual-stub metrics separate from normal annual/TTM fundamentals.",2026-07-02,2026-07-02
ESL,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Esterline submissions endpoint unavailable in modern SEC JSON API.",2026-07-01,2026-07-02
