ticker,footprint_category,primary_fda_entity,regulatory_route,key_class,product_codes,premarket_numbers,fei_numbers,expected_cdrh_records,review_adjusted_fda_state,review_reason,fda_product_score,note,valid_from,reviewed_at,valid_to
ADPT,direct_regulated_ivd_and_clia,Adaptive Biotechnologies Corporation,"De Novo, 510(k), and centralized CLIA laboratory",Class II IVD and centralized laboratory,QDC,DEN170080;K200009,,yes,manual_fda_footprint_device,verified_fda_denovo_den170080_and_510k_k200009_qdc,50,clonoSEQ DEN170080 and K200009/QDC verified in the FDA De Novo and 510(k) databases; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
AHCO,service_or_distribution,AdaptHealth,Device logistics handler,Home respiratory DME distributor,,,3015421198,no,manual_fda_footprint_service_or_non_cdrh,manual_fda_non_cdrh_or_service_footprint,45,distributes third-party home medical equipment,2026-06-26,2026-06-26
ALGN,device_manufacturer,Align Technology Inc,510k,Class II,NXC;PNN,K252380;K143630,3003923315,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Invisalign orthodontic device footprint,2026-06-26,2026-06-26
AORT,device_manufacturer,"Artivion, Inc.",PMA HDE and tissue product footprint,Class III PMA and Class II,OMT;DPN,,1000122244,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,removed P130015 and K221156 after openFDA mismatch or missing ID,2026-06-26,2026-06-26
ATR,infrastructure,Aptar Pharma,Drug Master File holder,Container closure component and DMF,,DMF,3003294115,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,drug delivery component supplier,2026-06-26,2026-06-26
AVNS,device_manufacturer,"Avanos Medical, Inc.",510k footprint requires verified IDs,Class II,FND;FLS,,3011382413,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,removed K231140 and K213452 after openFDA applicant mismatch; issuer last traded 2026-07-24 before acquisition and delisting,2026-06-26,2026-06-26,2026-07-24
AVR,device_manufacturer,Anteris Technologies Global Corp.,IDE and PMA pipeline,Class III investigational,OVR,,3014241198,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,DurAVR valve is investigational and should remain a pending PMA/IDE footprint rather than a standard 510k query,2026-06-26,2026-06-26
AVTR,infrastructure,Avantor J T Baker,GMP chemical supplier,GMP chemicals and raw materials,,,1510619,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,medical device raw materials and GMP chemicals,2026-06-26,2026-06-26
AXGN,device_manufacturer,Axogen Corporation,510k footprint requires verified IDs,HCT/P and Class II,PMN;JCH,,3007361955,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,removed K201464 and K212285 after openFDA applicant mismatch,2026-06-26,2026-06-26
AZTA,infrastructure,Azenta Life Sciences,Bio-banking infrastructure,Sample storage and cryogenic infrastructure,,,,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,bio-banking and sample management infrastructure,2026-06-26,2026-06-26
BDSX,centralized_ldt_clia,Biodesix Inc,Centralized CLIA/CAP laboratory-developed tests,CLIA LDT and molecular diagnostic,,,3008542194,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,VeriStrat and Nodify are performed through a centralized laboratory model; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
BIAF,centralized_ldt_clia,bioAffinity Technologies,Centralized CLIA laboratory-developed test,LDT flow cytometry framework,,,3018991214,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,CyPath Lung is treated as a centralized laboratory assay; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
BIO,infrastructure,Bio-Rad Laboratories,Class I controls and IVD instrumentation,Class I exempt and Class II IVD,JQC,,2913611,yes,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,removed K210412 after openFDA applicant mismatch,2026-06-26,2026-06-26
BLFS,infrastructure,BioLife Solutions,Master File track,DMF biopreservation media,,Master File,3006421094,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,CryoStor and HypoThermosol component footprint,2026-06-26,2026-06-26
BRKR,infrastructure,Bruker Daltonics,510k footprint requires verified IDs,Class I and Class II IVD,QBD,,3008514221,yes,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,removed K221104 after openFDA applicant mismatch,2026-06-26,2026-06-26
CATX,service_or_non_cdrh,Perspective Therapeutics,CDER IND pipeline,CDER isotope therapeutic development,,IND 163241,,no,manual_fda_footprint_service_or_non_cdrh,manual_fda_non_cdrh_or_service_footprint,45,tracked primarily through CDER pathways,2026-06-26,2026-06-26
CDNA,ivd_lab,CareDx Inc,CLIA LDT and transplant diagnostic footprint,Class II and CLIA LDT,OHA,,3005847112,yes,manual_fda_footprint_ivd_lab,manual_fda_ivd_lab_footprint_no_mapped_events,52,removed K191410 after openFDA missing ID validation,2026-06-26,2026-06-26
CERS,direct_regulated_device,Cerus Corporation,CBER biologics approval and direct device postmarket tracking,Class III blood-processing system,PJF,BP140143,3003948751,yes,regulatory_review_required,structured_postmarket_event_attribution_required,50,"BP140143 and S717 are linked from FDA AccessData; targeted recall and enforcement queries completed with no matching rows, and 29 MAUDE reports are linked. Inspection and compliance channels are not inferred as zero when no canonical source is available.",2026-08-10,2026-08-10
CLPT,device_manufacturer,"ClearPoint Neuro, Inc.",510k,Class II,HWC,,3007551004,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,ClearPoint Neuro Navigation System footprint; removed K223023 and K210452 after FDA applicant mismatch validation; MRI Interventions is legacy name,2026-06-26,2026-06-26
CODX,direct_regulated_device,Co-Diagnostics Inc,EUA and molecular IVD direct-manufacturer tracking,Class II and EUA footprint,OOI,,3014521998,yes,mapping_review_required,direct_regulated_product_mapping_requires_verification,50,"Physical diagnostic kits and reagents are not eligible for an LDT exemption; verify current EUA, product-code, recall, and adverse-event linkage",2026-07-24,2026-07-23,2026-08-13
COO,device_manufacturer,CooperVision CooperSurgical,510k and PMA footprint requires verified IDs,Class II and Class III,LPP;MQM,,1000115598,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,removed K220412 and P100021 after openFDA missing or Medtronic applicant mismatch,2026-06-26,2026-06-26
CRL,infrastructure,Charles River Laboratories,Preclinical GLP facility logs,Preclinical testing facilities,,,1213451,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,FDA facility registrations for testing services,2026-06-26,2026-06-26
CSTL,centralized_ldt_clia,Castle Biosciences,Centralized CLIA/CAP laboratory-developed tests,CLIA prognostic diagnostic,,,3009514115,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,DecisionDx assays are treated as centralized laboratory services; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
CTKB,infrastructure,Cytek Biosciences,Class I exempt platform,Class I exempt flow cytometry analyzer,,,3014125918,yes,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,flow cytometry analyzer footprint,2026-06-26,2026-06-26
CVRX,device_manufacturer,CVRx Inc,PMA,Class III PMA,DSR,P180050,3004612344,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,BAROSTIM implantable stimulator footprint,2026-06-26,2026-06-26
DCTH,device_manufacturer,"Delcath Systems, Inc.",PMA combination product footprint,Combination product PMA,MZD,,3003487192,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,HEPZATO KIT footprint; do not query P200004 or P200005 because openFDA applicants validate to ConMed/TZ Medical rather than Delcath,2026-06-26,2026-06-26
DGX,ivd_lab,Quest Diagnostics Nichols Institute,CLIA LDT and EUA diagnostic footprint,IVD kits and CLIA LDT,,,2244837,yes,manual_fda_footprint_ivd_lab,manual_fda_ivd_lab_footprint_no_mapped_events,52,removed K221455 because Quest monkeypox evidence is EUA not standard 510k,2026-06-26,2026-06-26
ELMD,device_manufacturer,"Electromed, Inc.",510k,Class II,BYI,K132794;K053248,3003975549,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,SmartVest airway clearance powered percussor footprint,2026-06-26,2026-06-26
EMBC,device_manufacturer,Embecta Corp.,510k and pipeline footprint,Class II,FMF;LZG,,1616421,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Kept Embecta entity; supplied Embrace Change SPAC mapping conflicts with local EMBC universe record,2026-06-26,2026-06-26
ESTA,device_manufacturer,Establishment Labs S.A.,PMA pending P230004,Class III PMA,FTR,,3008453412,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Motiva implant PMA track is pending or not indexed in openFDA approvals; do not query as an approved PMA row,2026-06-26,2026-06-26
FEED,device_manufacturer,"ENvue Medical, Inc.",510k footprint requires verified IDs,Class II,OLI,,3022510091,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Kept ENvue Medical entity; supplied Frelii software mapping conflicts with local FEED universe record,2026-06-26,2026-06-26
GCTK,device_manufacturer,"GlucoTrack, Inc.",IDE and De Novo pipeline,Class II pipeline,MDS,,3011409918,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Former Integrity Applications glucose monitor pipeline; no active commercial 510k row to query,2026-06-26,2026-06-26
