"ticker","review_adjusted_fda_state","hard_red_flag","confirmed_hard_red_flag","hard_red_flag_reasons","review_reason","analyst_review_status","analyst_note","suppress_clearance_metrics","clearance_metrics_suppression_reason","approval_product_code_allowlist","approval_product_code_excludelist","approval_product_code_filter_note","valid_from","reviewed_at"
"MDLN","confirmed_hard_red","1","1","analyst_confirmed_high_materiality_fda_risk","analyst_confirmed_high_materiality_fda_risk","high_materiality_fail","Severe systemic regulatory risk: 259 open rows tied to Medline core device/kit quality control issues and reported FDA clearance revocation context.","1","Confirmed hard-red status; suppress positive FDA clearance/innovation metrics from production scoring and reporting.","","","","2026-06-26","2026-06-26"
"MDT","regulatory_review_required","1","0","analyst_confirmed_high_materiality_death_adverse_event","analyst_high_priority_death_event_review","high_materiality_review","MEDTRONIC PUERTO RICO OPERATIONS CO. confirmed as Medtronic entity; death AE 25038736 remains high-priority adverse-event materiality review.","0","","","","","2026-06-26","2026-06-26"
"PHG","confirmed_hard_red","1","1","analyst_confirmed_high_materiality_fda_risk","analyst_confirmed_high_materiality_fda_risk","high_materiality_fail","Consent decree and Philips Respironics remediation/litigation exposure remain active; maintain hard gate.","1","Confirmed hard-red status; suppress positive FDA clearance/innovation metrics from production scoring and reporting.","","","","2026-06-26","2026-06-26"
"BAX","regulatory_review_required","1","0","analyst_confirmed_high_materiality_class_i_recall","analyst_review_required_core_class_i_recall","high_materiality_review","Volara respiratory therapy Class I recall Z-1637-2026 confirmed; FDA ID 1041 maps to Baxter Healthcare Corporation.","0","","","","","2026-06-26","2026-06-26"
"IART","regulatory_review_required","1","0","analyst_confirmed_structural_fda_recovery_risk","analyst_review_required_braintree_tissue_matrix_relaunch","high_materiality_review","Escalated: absence of current Class I recalls masks structural remediation risk; Braintree scale-up, PriMatrix/SurgiMend relaunch, and tissue matrix revenue recovery require active human monitoring.","0","","NQR","MGR","Prioritize DuraSeal neurosurgery/spine clearance metrics; isolate dermal/tissue matrix product-code MGR from positive clearance credit.","2026-06-26","2026-06-26"
"PODD","regulatory_review_required","1","0","analyst_confirmed_high_materiality_class_i_recall","analyst_review_required_core_class_i_recall","high_materiality_review","Omnipod 5 Pods Class I recall Z-1797-2026 confirmed as material core revenue-driver recall.","0","","","","","2026-06-26","2026-06-26"
"ABT","regulatory_watch","0","0","","analyst_medium_materiality_libre_batch_watch","medium_materiality_watch","Maintain watch: FreeStyle Libre 3/3 Plus Class I recall is clinically serious and tied to Abbott's medtech growth engine, but current evidence indicates isolated batch/product-lot correction rather than systemic multi-facility quality failure.","0","","","","","2026-06-26","2026-06-26"
"GEHC","cleared","0","0","","analyst_cleared_low_materiality_legacy_entity_artifact","low_materiality_clear","Clear watch: Class I anesthesia power-board and localized viewer/cybersecurity items are low materiality relative to GEHC scale; mapping confidence weakness is legacy legal-entity text (Datex-Ohmeda / GE Healthcare Integrated IT Solutions), not parent-linkage uncertainty.","0","","","","","2026-06-26","2026-06-26"
"ANGO","cleared","0","0","","analyst_cleared_standard_operational_risk","acceptable","Soft-Vu/AccuVu catheter hub defect reviewed as isolated standard operational risk; no broader structural penalty.","0","","","","","2026-06-26","2026-06-26"
"BSX","cleared","0","0","","analyst_cleared_standard_operational_baseline","acceptable","Open row count consistent with high-volume diversified medtech post-market correction baseline.","0","","","","","2026-06-26","2026-06-26"
"ISRG","cleared","0","0","","analyst_cleared_standard_operational_baseline","acceptable","Open row count consistent with complex surgical robotics post-market correction baseline.","0","","","","","2026-06-26","2026-06-26"
"MMSI","cleared","0","0","","analyst_cleared_standard_operational_baseline","acceptable","Open row count consistent with standard component lot remediation.","0","","","","","2026-06-26","2026-06-26"
"ICUI","cleared","0","0","","analyst_cleared_negligible_materiality","acceptable","Low row count and legacy late-2025 activity reviewed as negligible institutional materiality.","0","","","","","2026-06-26","2026-06-26"
"DHR","cleared","0","0","","analyst_cleared_negligible_materiality","acceptable","Low row count isolated to diagnostics sub-lots relative to Danaher scale; clear from deep review.","0","","","","","2026-06-26","2026-06-26"
"LMAT","cleared","0","0","","analyst_cleared_negligible_materiality","acceptable","Single row reviewed as negligible institutional financial risk.","0","","","","","2026-06-26","2026-06-26"
