policy_version,ticker,source_domain,review_status,review_disposition,source_authority_class,evidence_label,decision_basis,notes
transportation_dp6q_external_domain_policy_v1,ALK,news-alaskaair-com-develop.go-vip.net,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_CONTENT_HOST,analyst_interpretation,Issuer IR discovery page directly linked the results documents,Retain official supplemental slides and transcript candidates.
transportation_dp6q_external_domain_policy_v1,ASC,ardmoreshipping.investorroom.com,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_IR_VENDOR,analyst_interpretation,Issuer site directly linked an InvestorRoom-hosted annual report,Retain the issuer-authorized IR asset.
transportation_dp6q_external_domain_policy_v1,CISS,x.com,APPROVED,EXCLUDE_FROM_HYDRATION,SOCIAL_MEDIA,analyst_interpretation,Social posts are not primary financial documents,Exclude social links from the document corpus.
transportation_dp6q_external_domain_policy_v1,CVLG,cdn.prod.website-files.com,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_CONTENT_HOST,analyst_interpretation,Issuer IR pages directly linked Webflow-hosted releases statistics scripts and annual reports,Retain the issuer-controlled asset corpus.
transportation_dp6q_external_domain_policy_v1,EDRY,tradewindsnews.com,APPROVED,EXCLUDE_FROM_HYDRATION,SECONDARY_MEDIA,analyst_interpretation,TradeWinds is a secondary news source rather than an issuer filing or release,Exclude the news article.
transportation_dp6q_external_domain_policy_v1,EHLD,euroholdings.irwebpage.com,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_IR_VENDOR,analyst_interpretation,Issuer site directly linked its IRWebpage presentations and results,Retain issuer-authorized presentation and result pages.
transportation_dp6q_external_domain_policy_v1,ESEA,eurodry.gr,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,PRIMARY_RELATED_ISSUER_SOURCE,analyst_interpretation,Issuer page directly linked the EuroDry transaction tax disclosure,Retain as a primary related-issuer transaction document.
transportation_dp6q_external_domain_policy_v1,HAFN,findresearcher.sdu.dk,APPROVED,EXCLUDE_FROM_HYDRATION,UNRELATED_THIRD_PARTY,analyst_interpretation,The linked culture-lab research item is unrelated to issuer financial reporting,Exclude the false-positive research link.
transportation_dp6q_external_domain_policy_v1,HMR,heidmar.irwebpage.com,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_IR_VENDOR,analyst_interpretation,Issuer page directly linked the IRWebpage financial-results webcast,Retain the issuer-authorized results page.
transportation_dp6q_external_domain_policy_v1,HSHP,storage.mfn.se,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_NEWSWIRE,analyst_interpretation,Issuer IR page directly linked MFN-hosted filed annual reports,Retain issuer-authorized annual-report PDFs.
transportation_dp6q_external_domain_policy_v1,JOBY,cdn.sanity.io,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_CONTENT_HOST,analyst_interpretation,Issuer investor page directly linked the Sanity-hosted shareholder letter,Retain the issuer-controlled shareholder letter.
transportation_dp6q_external_domain_policy_v1,JOBY,joby-site.cdn.prismic.io,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_CONTENT_HOST,analyst_interpretation,Issuer investor page directly linked the Prismic-hosted shareholder letter,Retain the issuer-controlled shareholder letter.
transportation_dp6q_external_domain_policy_v1,JOBY,x.com,APPROVED,EXCLUDE_FROM_HYDRATION,SOCIAL_MEDIA,analyst_interpretation,Social posts are not primary financial documents,Exclude social links from the document corpus.
transportation_dp6q_external_domain_policy_v1,LTM,memoria2014.marketinglatam.net,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_REPORT_MICROSITE,analyst_interpretation,Issuer annual-report index directly linked the report microsite,Retain the issuer-authorized historical annual report.
transportation_dp6q_external_domain_policy_v1,LTM,memoria2015.marketinglatam.net,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_REPORT_MICROSITE,analyst_interpretation,Issuer annual-report index directly linked the report microsite,Retain the issuer-authorized historical annual report.
transportation_dp6q_external_domain_policy_v1,LTM,memoria2017.marketinglatam.net,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_REPORT_MICROSITE,analyst_interpretation,Issuer annual-report index directly linked the report microsite,Retain the issuer-authorized historical annual report.
transportation_dp6q_external_domain_policy_v1,LTM,memoriaintegrada2018.marketinglatam.net,APPROVED,APPROVE_FOR_ONE_TIME_HYDRATION,ISSUER_AUTHORIZED_REPORT_MICROSITE,analyst_interpretation,Issuer annual-report index directly linked the report microsite,Retain the issuer-authorized historical annual report.
