ticker,manual_verdict,manual_root_cause,manual_verified_active_study,manual_verified_nct,manual_verified_status,manual_verified_phase,manual_verified_study_type,manual_lead_vs_collab,manual_notes,manual_reviewer,manual_verified_date
AARD,manual_keep,status_stale_on_ctgov,false,NCT06828861,suspended_open_investigational_file,Phase 3,interventional,lead_sponsor,AARD ARD-101 Phase 3 HERO trial is CTGov-suspended; keep mapped as paused/open-IND diagnostic evidence but do not count as active trial support.,Codex,2026-06-26
ACET,manual_keep,entity_mapping_issue,false,,ctgov_link_pending,,,program_owner,Platform company retained for scored research; active-trial linkage remains under review.,Codex,2026-08-21
ADMA,manual_keep,true_historical_only,false,NCT05070455,commercial_stage_historical_ctgov,Phase 4,interventional,commercial_anchor,Commercial-stage plasma biologics issuer; keep for scoring despite no current verified active qualifying CTGov study in local audit.,Codex,2026-05-27
AMPH,manual_keep,true_historical_only,false,NCT05539872,commercial_stage_historical_ctgov,Phase 3,interventional,commercial_anchor,Commercial-stage injectable/generic biopharma issuer; keep for scoring despite weak/historical CTGov evidence.,Codex,2026-05-27
ANIP,manual_keep,collaborator_only_not_lead,true,NCT05486468,active_collaborator_confirmed,active,interventional,collaborator,Active collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
ANTX,manual_keep,collaborator_only_not_lead,true,NCT07301320,active_collaborator_confirmed,active,interventional,collaborator,Active collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
AQST,manual_keep,true_historical_only,false,NCT06527937,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
ARMP,manual_keep,status_stale_on_ctgov,false,NCT05184764,regulatory_milestone,Phase 1/Phase 2,interventional,lead_sponsor,Armata AP-SA02 bacteremia program is completed in CTGov but has user-verified FDA/Phase 3-advancement context; keep as non-active regulatory milestone evidence.,Codex,2026-06-26
ASMB,manual_keep,true_historical_only,false,NCT06385327,historical_program_evidence,Phase 1,interventional,clinical_stage_watchlist,Assembly antiviral program evidence is historical/completed locally; keep as biotech watchlist for scoring with no-current-trial penalty.,Codex,2026-05-27
ATAI,manual_keep,entity_mapping_issue,false,,ctgov_link_pending,,,program_owner,Platform company retained for scored research; sponsor/program aliases remain under review.,Codex,2026-08-21
ATHE,manual_keep,status_stale_on_ctgov,false,NCT05109091,regulatory_milestone,Phase 2,interventional,lead_sponsor,Alterity ATH434 Phase 2 data and FDA Phase 3 alignment reviewed; keep as non-active regulatory milestone evidence not active trial support.,Codex,2026-06-27
AVNS,manual_keep,collaborator_only_not_lead,true,NCT04130464,active_collaborator_confirmed,active,interventional,collaborator,Active equipment-provider collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
AVTX,manual_keep,true_historical_only,false,NCT06603077,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
BBNX,manual_keep,collaborator_only_not_lead,true,NCT06449677,active_collaborator_confirmed,active,interventional,collaborator,Active collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
