cohort,metric_id,extra_aliases,extra_event_sections,definition_basis,comparability_class,document_keywords
surface,operating_ratio,LTL operating ratio|operating expenses as a percentage of revenue|segment operating ratio,Item 2.02|Item 7.01|Item 8.01,reported_or_matching_segment_expense_over_revenue,exact_or_named_segment,operating ratio|operating expenses
surface,purchased_transportation_ratio,purchased transportation and revenue equipment rentals|directly related cost of transportation and other expenses|purchased transportation and warehousing|cost of transportation,Item 2.02|Item 7.01,matching_transportation_cost_scope_over_segment_revenue,exact_or_explicit_broad_proxy,purchased transportation|cost of transportation
surface,freight_weight_per_shipment,pounds per day|LTL pounds per day|average pounds per shipment,Item 2.02|Item 7.01,pounds_per_day_over_shipments_per_day,exact_ltl,pounds per day|shipments per day
surface,pricing_or_yield_growth,LTL yield excluding fuel|yield excluding fuel|revenue per hundred pounds,Item 2.02|Item 7.01,same_definition_yield_yoy,exact_ltl,yield excluding fuel|revenue per hundredweight
surface,rail_network_velocity,car velocity|freight car velocity|car miles per day|daily miles per car,Item 2.02|Item 7.01|Item 8.01|STB Weekly Railroad Performance,issuer_reported_network_velocity,separate_car_velocity_and_train_speed,car velocity|car miles per day|train speed
surface,rail_fuel_efficiency,US gallons of locomotive fuel consumed per 1000 GTMs|locomotive fuel consumed|fuel consumed per gross ton mile|GTM per gallon,Item 2.02|Item 7.01|Item 8.01,normalized_gallons_per_1000_gtm,exact_normalized_unit,locomotive fuel consumed|fuel efficiency
surface,terminal_dwell_time,through dwell|dwell hours|average dwell hours,Item 2.02|Item 7.01|Item 8.01|STB Weekly Railroad Performance,issuer_reported_dwell_hours,definition_specific,through dwell|terminal dwell
surface,logistics_net_revenue_margin,direct transportation margin|transportation gross profit margin|net transportation revenue margin,Item 2.02|Item 7.01,one_minus_matching_transportation_cost_over_segment_revenue,exact_or_explicit_broad_proxy,net revenue|purchased transportation
tanker,fleet_age,year built|built year|vessel built,Form 6-K|Form 8-K|Item 2.02|Item 7.01,vessel_schedule_age_simple_or_dwt_weighted,separate_weighting_basis,fleet list|year built
tanker,tce_day_rate,TCE per revenue day|average daily TCE|TCE earnings|TCE earnings per day,Form 6-K|Form 8-K|Item 2.02|Item 7.01,issuer_reported_tce_per_defined_day,definition_specific,TCE|time charter equivalent
tanker,revenue_days,net earnings days|earnings capacity days|available earning days|operating days,Form 6-K|Form 8-K|Item 2.02|Item 7.01,issuer_reported_or_available_less_offhire,definition_specific,revenue days|earning days
tanker,vessel_count,fleet size|operating fleet|owned and operated fleet|average number of vessels,Form 6-K|Form 8-K|Item 2.02|Item 7.01,unique_vessel_schedule_rows,scope_specific,fleet size|vessel list
tanker,fleet_capacity,total dwt|aggregate dwt|fleet deadweight tons,Form 6-K|Form 8-K|Item 2.02|Item 7.01,sum_vessel_schedule_dwt,scope_specific,total dwt|deadweight
tanker,vessel_opex_per_day,operating expenses per operating day|daily vessel opex|vessel operating costs per operating day,Form 6-K|Form 8-K|Item 2.02|Item 7.01,vessel_operating_expense_over_operating_days,exact_denominator,vessel operating expense|operating days
tanker,charter_coverage_next_12m,coverage of earning days|percentage covered|spot TCE currently contracted|time charter coverage,Form 6-K|Form 8-K|Item 2.02|Item 7.01,contracted_vessel_days_next_365_over_available_vessel_days,definition_specific,percentage covered|contracted days|charter expiry
tanker,fleet_utilization,revenue days divided by available days|earning days divided by available days,Form 6-K|Form 8-K|Item 2.02|Item 7.01,revenue_or_earning_days_over_available_days,definition_specific,utilization|available days
tanker,cash_breakeven_per_day,cash break-even|operating cash flow breakeven|operational cash flow breakeven|all-in cash breakeven|estimated average daily cash breakeven rates,Form 6-K|Form 8-K|Item 2.02|Item 7.01,issuer_reported_cash_breakeven,separate_cost_scope,cash breakeven|cash break-even
